source,date,author,url,pick,team,player,position,school,conference,source-abb,last-name,draft-id
33rd Team,2025-03-29,Tyler Brooke,https://www.nflmockdraftdatabase.com/mock-drafts/2025/33rd-team-2025-tyler-brooke?date=2025-03-29,1,tennessee-titans,Cameron Ward,QB,Miami (FL),ACC,33rd Team,Brooke,33rd Team - Brooke!1
33rd Team,2025-03-29,Tyler Brooke,https://www.nflmockdraftdatabase.com/mock-drafts/2025/33rd-team-2025-tyler-brooke?date=2025-03-29,2,cleveland-browns,Abdul Carter,EDGE,Penn St.,Big Ten,33rd Team,Brooke,33rd Team - Brooke!1
33rd Team,2025-03-29,Tyler Brooke,https://www.nflmockdraftdatabase.com/mock-drafts/2025/33rd-team-2025-tyler-brooke?date=2025-03-29,3,new-york-giants,Shedeur Sanders,QB,Colorado,Big 12,33rd Team,Brooke,33rd Team - Brooke!1
33rd Team,2025-03-29,Tyler Brooke,https://www.nflmockdraftdatabase.com/mock-drafts/2025/33rd-team-2025-tyler-brooke?date=2025-03-29,4,new-england-patriots,Travis Hunter,CB,Colorado,Big 12,33rd Team,Brooke,33rd Team - Brooke!1
33rd Team,2025-03-29,Tyler Brooke,https://www.nflmockdraftdatabase.com/mock-drafts/2025/33rd-team-2025-tyler-brooke?date=2025-03-29,5,jacksonville-jaguars,Mason Graham,DL,Michigan,Big Ten,33rd Team,Brooke,33rd Team - Brooke!1
33rd Team,2025-03-29,Tyler Brooke,https://www.nflmockdraftdatabase.com/mock-drafts/2025/33rd-team-2025-tyler-brooke?date=2025-03-29,6,las-vegas-raiders,Ashton Jeanty,RB,Boise St.,Mountain West,33rd Team,Brooke,33rd Team - Brooke!1
33rd Team,2025-03-29,Tyler Brooke,https://www.nflmockdraftdatabase.com/mock-drafts/2025/33rd-team-2025-tyler-brooke?date=2025-03-29,7,new-york-jets,Tyler Warren,TE,Penn St.,Big Ten,33rd Team,Brooke,33rd Team - Brooke!1
33rd Team,2025-03-29,Tyler Brooke,https://www.nflmockdraftdatabase.com/mock-drafts/2025/33rd-team-2025-tyler-brooke?date=2025-03-29,8,carolina-panthers,Shemar Stewart,EDGE,Texas A&M,SEC,33rd Team,Brooke,33rd Team - Brooke!1
33rd Team,2025-03-29,Tyler Brooke,https://www.nflmockdraftdatabase.com/mock-drafts/2025/33rd-team-2025-tyler-brooke?date=2025-03-29,9,new-orleans-saints,Will Johnson,CB,Michigan,Big Ten,33rd Team,Brooke,33rd Team - Brooke!1
33rd Team,2025-03-29,Tyler Brooke,https://www.nflmockdraftdatabase.com/mock-drafts/2025/33rd-team-2025-tyler-brooke?date=2025-03-29,10,chicago-bears,Mike Green,EDGE,Marshall,Sun Belt,33rd Team,Brooke,33rd Team - Brooke!1
